Index,HIP,Vmag,X,Y,Tipo,Name
363,53417,4.3,675.144976779021,394.3121305452329,Científica,*  54 Leo
364,57669,4.3,812.9052588671606,22.023976202063672,Científica,* j Cen
365,78990,4.31,1300.0487261178628,272.51223935493556,Científica,* ome02 Sco
366,42568,4.31,563.5513806340522,20.227175142361084,Científica,* d Car
367,75411,4.31,1024.422609464068,538.907893828067,Científica,* mu.01 Boo
368,29696,4.32,228.7257439496669,457.93206304775856,Científica,* kap Aur
369,25945,4.32,122.89517956231288,426.5230748628277,Científica,* 119 Tau
370,16826,4.32,218.00595926502547,638.9138235392479,Científica,* psi Per
371,43067,4.32,456.7888413802221,223.3389074100224,Científica,* D Hya
372,46750,4.32,532.7294697412611,383.1593953464695,Científica,* lam Leo
373,72683,4.32,1125.794075997185,126.09794056357065,Científica,* omi Lup
374,58758,4.32,829.9453678980263,24.689777615901548,Científica,* tet01 Cru
375,67669,4.32,1043.094060306354,173.92011492937445,Científica,*   3 Cen
376,64241,4.32,914.6564771960916,393.67641237531336,Científica,* alf Com
377,70576,4.33,1079.1717074416013,115.12037444517529,Científica,* tau02 Lup
378,36284,4.33,302.9044909092332,334.67122235846693,Científica,* gam CMi
379,62867,4.33,922.6310094416144,91.93846148243128,Científica,* e Cen
380,68523,4.34,1039.1600020803187,112.53157557075306,Científica,* ups02 Cen
381,31125,4.34,211.6851684771493,178.7304122240674,Científica,* ksi01 CMa
382,47175,4.34,610.1972141824215,71.48001629963227,Científica,* M Vel
383,45496,4.34,602.4028126184115,34.466608042103644,Científica,* g Car
384,43234,4.35,451.7515420151859,309.88966583277085,Científica,* rho Hya
385,22509,4.35,22.22618372802924,397.91770327061704,Científica,* pi.02 Ori
